numero;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Z_CostContact;Z_Revenue;Response;user_id
5524;1990;Master;Single;58138.0;0;0;04-09-12;58;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;0;3;11;1;1
2174;1980;Master;Divorced;46344.0;1;0;08-03-14;38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;3;11;0;2
4141;1980;Basic;Married;71613.0;2;2;21-08-13;26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;3;11;0;3
6182;1950;Basic;Married;26646.0;0;1;10-02-14;26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;3;11;0;4
5324;1940;Graduation;Married;58293.0;0;1;19-01-14;94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;3;11;0;5
7446;1940;2nCycle;Single;62513.0;0;1;09-09-13;16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;3;11;0;6
965;1990;Basic;Divorced;55635.0;2;2;13-11-12;34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;3;11;0;7
6177;1940;Master;Divorced;33454.0;0;0;08-05-13;32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;3;11;0;8
4855;1950;Graduation;Married;30351.0;2;1;06-06-13;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;3;11;1;9
5899;1950;PhD;Together;5648.0;2;1;13-03-14;68;28;0;6;1;1;13;1;1;0;0;20;1;0;0;0;0;0;3;11;0;10
387;1950;PhD;Widow;7500.0;0;0;13-11-12;59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;3;11;0;11
2125;1960;PhD;Together;63033.0;1;1;15-11-13;82;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;0;3;11;0;12
8180;1970;Graduation;Together;59354.0;1;0;15-11-13;53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;3;11;0;13
2569;1990;Basic;Widow;17323.0;0;0;10-10-12;38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;3;11;0;14
2114;1980;Master;Married;82800.0;2;1;24-11-12;23;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;0;3;11;1;15
9736;1980;Graduation;Married;41850.0;1;1;24-12-12;51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;3;11;0;16
4939;1990;2nCycle;Widow;37760.0;2;2;31-08-12;20;84;5;38;150;12;28;2;4;1;6;7;0;0;0;0;0;0;3;11;0;17
6565;1950;2nCycle;Divorced;76995.0;1;1;28-03-13;91;1012;80;498;0;16;176;2;11;4;9;5;0;0;0;1;0;0;3;11;0;18
2278;1980;Graduation;Married;33812.0;0;2;03-11-12;86;4;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;0;3;11;0;19
9360;1950;Master;Divorced;37040.0;1;2;08-08-12;41;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;3;11;0;20
5376;1960;Basic;Widow;2447.0;2;2;06-01-13;42;1;1;1725;1;1;1;15;0;28;0;1;0;0;0;0;0;0;3;11;0;21
1993;1990;Basic;Together;58607.0;1;0;23-12-12;63;867;0;86;0;0;19;3;2;3;9;8;0;1;0;0;0;0;3;11;0;22
4047;1940;2nCycle;Together;65324.0;0;2;11-01-14;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;3;11;0;23
1409;1950;2nCycle;Widow;40689.0;1;2;18-03-13;69;270;3;27;39;6;99;7;7;1;5;8;0;0;0;0;0;0;3;11;0;24
7892;1960;Basic;Single;18589.0;0;0;02-01-13;89;6;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;0;3;11;0;25
2404;1960;Graduation;Widow;53359.0;0;1;27-05-13;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;3;11;0;26
9422;1990;Graduation;Married;38360.0;0;2;31-05-13;26;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;3;11;0;27
1966;1990;PhD;Married;84618.0;2;1;22-11-13;96;684;100;801;21;66;0;1;6;9;10;2;0;0;1;0;0;0;3;11;0;28
6864;1960;PhD;Together;10979.0;2;1;22-05-14;34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;3;11;0;29
3033;1970;2nCycle;Divorced;38620.0;0;0;11-05-13;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;3;11;0;30
5710;1980;Basic;Married;40548.0;0;2;10-10-12;31;110;0;5;2;0;3;2;2;1;4;5;0;1;0;0;0;0;3;11;0;31
7373;1940;Master;Married;46610.0;1;2;29-10-12;8;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;3;11;1;32
8755;1950;Graduation;Widow;68657.0;0;0;20-02-13;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;3;11;0;33
10738;1980;Graduation;Together;49389.0;0;2;29-08-13;55;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;0;3;11;0;34
4339;1960;Graduation;Widow;67353.0;2;1;31-12-13;37;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;3;11;0;35
10755;1940;2nCycle;Married;23718.0;2;1;02-09-13;76;6;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;3;11;0;36
8595;1980;2nCycle;Single;42429.0;1;1;11-02-14;99;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;3;11;0;37
2968;1950;PhD;Single;48948.0;2;0;01-02-13;53;437;8;206;160;49;42;2;7;10;5;6;1;0;0;0;0;0;3;11;1;38
8601;1980;Master;Widow;80011.0;1;0;29-04-13;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;3;11;0;39
503;1950;Master;Married;20559.0;2;2;12-03-13;88;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;0;3;11;0;40
8430;1990;Graduation;Together;21994.0;1;2;24-12-12;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;3;11;0;41
2139;1960;2nCycle;Widow;7500.0;2;1;02-10-13;19;3;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;0;3;11;0;42
1371;1980;Graduation;Widow;79941.0;1;2;28-06-14;72;123;164;266;227;30;174;1;2;4;9;1;0;0;0;0;0;0;3;11;0;43
9909;1950;2nCycle;Married;7500.0;0;0;09-11-12;24;3;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;0;3;11;1;44
7286;1950;2nCycle;Widow;41728.0;2;1;24-05-13;92;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;3;11;0;45
6566;1970;PhD;Widow;72550.0;2;2;08-11-12;39;826;50;317;50;38;38;9;5;2;12;8;0;0;0;0;0;0;3;11;0;46
8614;1980;2nCycle;Divorced;65486.0;2;0;12-05-14;29;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;0;3;11;0;47
4114;1940;PhD;Married;79143.0;1;1;11-08-12;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;3;11;0;48
1331;1970;Graduation;Together;35790.0;0;0;02-01-13;54;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;0;3;11;0;49
2225;1940;2nCycle;Together;82582.0;2;1;07-06-14;54;510;120;550;156;40;241;1;4;9;7;1;1;0;0;1;0;0;3;11;1;50
9381;1970;PhD;Together;66373.0;2;2;12-06-13;57;328;9;124;12;24;109;7;4;2;10;3;0;0;0;0;0;0;3;11;0;51
6260;1940;2nCycle;Single;82384.0;0;0;19-11-12;55;984;51;432;180;120;190;1;3;10;13;1;0;0;1;0;0;0;3;11;1;52
10383;1970;2nCycle;Divorced;70287.0;1;2;02-04-13;30;295;35;482;121;120;40;1;5;5;10;3;0;0;0;0;0;0;3;11;1;53
7437;1950;Master;Together;27938.0;0;1;28-04-14;31;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;3;11;0;54
8375;1950;2nCycle;Divorced;55954.0;0;0;03-03-14;63;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;3;11;0;55
6853;1970;2nCycle;Widow;75777.0;2;1;04-07-13;12;712;26;538;69;13;80;1;3;6;11;1;0;1;1;0;0;0;3;11;1;56
3076;1960;Basic;Single;66653.0;2;1;07-09-12;18;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;3;11;0;57
