user_id;rating;timestamp;age;gender;occupation;zip_code;movie_id;movie_title;release_date;IMDb_URL;movie_type;
196;3;04-12-97 15:55;49;M;writer;55105;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
305;5;01-02-98 04:37;23;M;programmer;94086;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
6;4;28-12-97 00:16;42;M;executive;98101;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
234;4;27-03-98 21:14;60;M;retired;94702;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
63;3;01-10-97 23:06;31;M;marketing;75240;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
181;1;08-11-97 04:03;26;M;executive;21218;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
201;4;06-01-98 18:16;27;M;writer;E2A4H;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
249;5;15-11-97 05:23;25;M;student;84103;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
13;2;07-12-97 17:19;47;M;educator;29206;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
279;3;25-10-97 05:17;33;M;programmer;85251;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
145;5;26-09-97 10:29;31;M;entertainment;V3N4P;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
90;4;31-03-98 22:11;60;M;educator;78155;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
271;4;26-01-98 19:54;51;M;engineer;22932;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
18;5;21-11-97 16:21;35;F;other;37212;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
1;5;13-03-98 01:13;24;M;technician;85711;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
207;4;25-03-98 02:43;39;M;marketing;92037;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
14;4;16-10-97 01:16;45;M;scientist;55106;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
113;2;24-09-97 04:38;47;M;executive;95032;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
123;5;17-11-97 23:24;48;F;artist;20008;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
296;4;07-01-98 18:00;43;F;administrator;16803;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
154;3;10-11-97 05:03;25;M;student;53703;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
270;5;15-10-97 22:15;18;F;student;63119;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
240;5;26-01-98 00:48;23;F;educator;20784;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
144;4;21-02-98 23:24;53;M;programmer;20910;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
21;3;22-09-97 18:06;26;M;writer;30068;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
239;5;06-03-98 10:01;39;M;artist;95628;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
111;4;04-04-98 08:51;57;M;engineer;90630;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
129;4;27-12-97 17:32;36;F;marketing;07039;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
131;5;01-01-98 19:08;59;F;administrator;15237;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
226;5;04-01-98 04:37;28;M;student;92103;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
306;5;10-10-97 17:16;45;M;other;73132;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
173;5;22-10-97 21:43;56;M;other;22306;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
2;5;27-02-98 04:01;53;F;other;94043;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
205;4;24-02-98 01:38;47;M;lawyer;06371;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
195;4;10-11-97 06:06;42;M;scientist;93555;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
199;5;02-01-98 23:08;30;M;writer;17604;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
202;3;17-11-97 00:25;41;F;educator;60201;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
206;3;22-02-98 20:40;14;F;student;53115;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
35;2;28-09-97 15:06;20;F;homemaker;42459;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
34;5;27-02-98 17:47;38;F;administrator;42141;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
204;5;12-04-98 13:48;52;F;librarian;10960;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
30;5;27-01-98 22:45;7;M;student;55436;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
209;4;31-12-97 17:33;33;F;educator;85710;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
9;4;08-02-98 17:25;29;M;student;01002;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
12;5;19-11-97 17:33;28;F;other;06405;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
40;4;04-03-98 19:55;38;M;scientist;27514;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
331;4;18-10-97 17:34;33;M;entertainment;91344;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
86;4;15-11-97 04:51;26;M;administrator;46005;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
139;3;14-11-97 20:04;20;M;student;08904;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
309;4;20-10-97 17:58;40;M;scientist;70802;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
354;5;29-03-98 14:06;29;F;librarian;48197;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
360;4;24-11-97 06:40;51;M;other;98027;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
355;4;14-11-97 05:48;25;M;student;60135;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
416;4;02-03-98 06:14;20;F;student;92626;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
408;4;12-03-98 05:19;23;M;student;61755;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
417;3;16-11-97 02:06;27;F;other;48103;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
428;4;27-01-98 23:27;28;M;student;55414;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
440;5;02-04-98 19:49;30;M;other;48076;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
439;5;23-12-97 15:53;23;F;administrator;20817;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
451;1;08-11-97 18:14;16;M;student;48446;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
460;4;23-12-97 21:00;44;F;other;60630;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
461;3;21-01-98 04:08;15;M;student;98102;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
463;2;15-03-98 04:20;48;F;healthcare;75218;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
473;3;29-10-97 20:27;29;M;student;94708;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
486;4;18-11-97 17:26;39;M;educator;93101;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
492;5;19-11-97 20:04;57;M;educator;94618;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
497;1;05-11-97 19:49;20;M;student;50112;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
500;3;07-04-98 02:41;28;M;administrator;94305;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
523;5;02-01-98 00:04;50;F;administrator;04102;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
520;5;19-01-98 00:13;62;M;healthcare;12603;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
532;4;02-03-98 05:48;20;M;student;92705;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
485;5;27-03-98 23:13;44;F;educator;95821;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
533;4;13-01-98 13:28;43;M;librarian;02324;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
537;3;28-01-98 23:01;36;M;engineer;22902;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
539;5;17-11-97 17:29;53;F;administrator;80303;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
566;5;09-12-97 06:34;20;M;student;14627;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
574;5;30-03-98 17:27;56;M;educator;53188;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
568;4;26-10-97 22:55;39;M;educator;01915;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
592;5;20-12-97 08:41;18;M;student;97520;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
594;4;04-10-97 20:31;46;M;educator;M4J2K;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
597;4;27-09-97 05:43;23;M;other;84116;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
617;3;03-01-98 00:48;27;F;writer;11201;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
624;4;07-04-98 14:57;19;M;student;30067;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
628;5;29-11-97 04:18;13;M;none;94306;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
639;4;30-03-98 06:15;42;F;librarian;12065;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
651;5;21-11-97 15:33;65;M;retired;02903;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
655;4;14-02-98 02:53;50;F;healthcare;60657;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
641;5;12-11-97 21:31;24;M;student;60626;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
673;4;01-03-98 21:25;51;M;educator;22906;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
697;5;20-12-97 12:38;25;M;other;77042;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
680;4;14-10-97 07:59;33;M;lawyer;90405;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
707;4;13-11-97 16:38;56;F;librarian;19146;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
695;5;02-03-98 02:30;26;M;writer;38115;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
675;4;10-03-98 00:08;34;M;other;28814;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
721;3;18-10-97 01:19;24;F;entertainment;11238;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
724;1;02-01-98 16:24;31;M;executive;40243;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
720;4;30-03-98 12:56;49;F;administrator;16506;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
743;4;04-12-97 23:14;31;M;programmer;92660;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
733;4;14-11-97 19:16;44;F;other;60630;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
740;4;14-11-97 15:59;25;F;educator;22206;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
735;5;12-10-97 23:06;29;F;healthcare;85719;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
758;3;27-11-97 23:10;27;M;student;53706;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
753;4;01-04-98 02:57;56;M;salesman;91206;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
767;4;01-04-98 20:30;70;M;engineer;06437;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
771;4;27-11-97 19:33;26;M;student;15232;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
765;5;24-11-97 04:31;31;M;student;33066;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
