user_id;rating;timestamp;age;gender;occupation;zip_code;movie_id;movie_title;release_date;IMDb_URL;movie_type;
1;5;13-03-98 01:13;30;M;programmer;1824;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
2;5;27-02-98 04:01;70;M;student;1913;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
3;5;07-03-98 02:24;40;F;librarian;1940;340;Boogie Nights (1997);01-janv-97;http://us.imdb.com/M/title-exact?Boogie+Nights+(1997);Drama;
4;5;08-04-98 02:25;30;F;administrator;2136;327;Cop Land (1997);01-janv-97;http://us.imdb.com/M/title-exact?Cop+Land+(1997);Crime-Drama-Mystery;
5;2;30-09-97 16:17;70;M;programmer;1810;393;Mrs. Doubtfire (1993);01-janv-93;http://us.imdb.com/M/title-exact?Mrs.%20Doubtfire%20(1993);Comedy;
6;4;28-12-97 00:16;50;M;other;2140;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
7;4;31-03-98 13:47;50;F;administrator;1824;393;Mrs. Doubtfire (1993);01-janv-93;http://us.imdb.com/M/title-exact?Mrs.%20Doubtfire%20(1993);Comedy;
8;3;12-11-97 19:20;70;M;engineer;1960;566;Clear and Present Danger (1994);01-janv-94;http://us.imdb.com/M/title-exact?Clear%20and%20Present%20Danger%20(1994);Action-Adventure-Thriller;
9;4;08-02-98 17:25;30;F;librarian;1824;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
10;5;26-10-97 18:51;60;M;administrator;1970;655;Stand by Me (1986);01-janv-86;http://us.imdb.com/M/title-exact?Stand%20by%20Me%20(1986);Adventure-Comedy-Drama;
11;4;06-04-98 23:27;60;F;executive;1915;393;Mrs. Doubtfire (1993);01-janv-93;http://us.imdb.com/M/title-exact?Mrs.%20Doubtfire%20(1993);Comedy;
12;5;19-11-97 17:33;50;M;engineer;2110;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
13;2;07-12-97 17:19;50;F;sciencist;2140;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
14;4;16-10-97 01:16;30;M;student;1960;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
15;2;13-11-97 21:12;30;F;other;1945;251;Shall We Dance? (1996);11-juil-97;http://us.imdb.com/M/title-exact?Shall%20we%20DANSU%3F%20%281996%29;Comedy;
16;5;24-10-97 20:14;30;M;student;1701;655;Stand by Me (1986);01-janv-86;http://us.imdb.com/M/title-exact?Stand%20by%20Me%20(1986);Adventure-Comedy-Drama;
17;3;20-01-98 05:04;30;M;librarian;2113;111;Truth About Cats & Dogs(The(1996));26-Apr-1996;http://us.imdb.com/M/title-exact?Truth%20About%20Cats%20&%20Dogs%20The%20(1996);Comedy-Romance;
18;5;21-11-97 16:21;40;F;writer;1754;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
19;3;21-01-98 19:58;20;M;educator;1824;655;Stand by Me (1986);01-janv-86;http://us.imdb.com/M/title-exact?Stand%20by%20Me%20(1986);Adventure-Comedy-Drama;
20;2;16-11-97 08:45;20;M;writer;2146;94;Home Alone (1990);01-janv-90;http://us.imdb.com/M/title-exact?Home%20Alone%20(1990);Children's-Comedy;
21;3;22-09-97 18:06;10;M;student;2140;242;Kolya (1996);24-janv-97;http://us.imdb.com/M/title-exact?Kolya%20(1996);Comedy;
